,tweet_id,date,time,name,stage,rating_numerator,rating_denominator
24,887343217045368832,2017-07-18 00:00:00,2017-12-03 16:08:00,None,None ,13.0,10.0
25,887101392804085760,2017-07-18 00:00:00,2017-12-03 00:07:00,None,None ,12.0,10.0
26,886983233522544640,2017-07-17 00:00:00,2017-12-03 16:17:00,Maya,None ,13.0,10.0
27,886736880519319552,2017-07-16 00:00:00,2017-12-03 23:58:00,Mingus,None ,13.0,10.0
28,886680336477933568,2017-07-16 00:00:00,2017-12-03 20:14:00,Derek,None ,13.0,10.0
29,886366144734445568,2017-07-15 00:00:00,2017-12-03 23:25:00,Roscoe,pupper,12.0,10.0
30,886267009285017600,2017-07-15 00:00:00,2017-12-03 16:51:00,None,None ,12.0,10.0
31,886258384151887873,2017-07-15 00:00:00,2017-12-03 16:17:00,Waffles,None ,13.0,10.0
33,885984800019947520,2017-07-14 00:00:00,2017-12-03 22:10:00,Jimbo,None ,12.0,10.0
34,885528943205470208,2017-07-13 00:00:00,2017-12-03 15:58:00,Maisey,None ,13.0,10.0
35,885518971528720385,2017-07-13 00:00:00,2017-12-03 15:19:00,None,None ,14.0,10.0
37,885167619883638784,2017-07-12 00:00:00,2017-12-03 16:03:00,None,None ,13.0,10.0
38,884925521741709313,2017-07-12 00:00:00,2017-12-03 00:01:00,Earl,None ,12.0,10.0
39,884876753390489601,2017-07-11 00:00:00,2017-12-03 20:47:00,Lola,None ,13.0,10.0
40,884562892145688576,2017-07-11 00:00:00,2017-12-03 00:00:00,Kevin,None ,13.0,10.0
41,884441805382717440,2017-07-10 00:00:00,2017-12-03 15:58:00,None,None ,14.0,10.0
42,884247878851493888,2017-07-10 00:00:00,2017-12-03 03:08:00,None,None ,13.0,10.0
43,884162670584377345,2017-07-09 00:00:00,2017-12-03 21:29:00,Yogi,doggo,12.0,10.0
44,883838122936631299,2017-07-09 00:00:00,2017-12-03 00:00:00,Noah,None ,12.0,10.0
45,883482846933004288,2017-07-08 00:00:00,2017-12-03 00:28:00,Bella,None ,5.0,10.0
46,883360690899218434,2017-07-07 00:00:00,2017-12-03 16:22:00,Grizzwald,floofer,13.0,10.0
47,883117836046086144,2017-07-07 00:00:00,2017-12-03 00:17:00,None,None ,13.0,10.0
48,882992080364220416,2017-07-06 00:00:00,2017-12-03 15:58:00,Rusty,None ,13.0,10.0
49,882762694511734784,2017-07-06 00:00:00,2017-12-03 00:46:00,Gus,pupper,12.0,10.0
50,882627270321602560,2017-07-05 00:00:00,2017-12-03 15:48:00,Stanley,None ,13.0,10.0
51,882268110199369728,2017-07-04 00:00:00,2017-12-03 16:01:00,Alfy,None ,13.0,10.0
52,882045870035918850,2017-07-04 00:00:00,2017-12-03 01:18:00,Koko,None ,13.0,10.0
53,881906580714921986,2017-07-03 00:00:00,2017-12-03 16:04:00,Rey,None ,12.0,10.0
54,881666595344535552,2017-07-03 00:00:00,2017-12-03 00:11:00,Gary,None ,13.0,10.0
55,881633300179243008,2017-07-02 00:00:00,2017-12-03 21:58:00,None,None ,17.0,10.0
56,881536004380872706,2017-07-02 00:00:00,2017-12-03 15:32:00,None,pupper,14.0,10.0
57,881268444196462592,2017-07-01 00:00:00,2017-12-03 21:49:00,Elliot,None ,12.0,10.0
58,880935762899988482,2017-06-30 00:00:00,2017-12-03 23:47:00,Louis,None ,13.0,10.0
59,880872448815771648,2017-06-30 00:00:00,2017-12-03 19:35:00,None,None ,12.0,10.0
60,880465832366813184,2017-06-29 00:00:00,2017-12-03 16:39:00,Bella,None ,12.0,10.0
61,880221127280381952,2017-06-29 00:00:00,2017-12-03 00:27:00,Jesse,None ,12.0,10.0
62,880095782870896641,2017-06-28 00:00:00,2017-12-03 16:09:00,None,None ,11.0,10.0
63,879862464715927552,2017-06-28 00:00:00,2017-12-03 00:42:00,Romeo,None ,13.0,10.0
64,879674319642796034,2017-06-27 00:00:00,2017-12-03 12:14:00,None,None ,14.0,10.0
65,879492040517615616,2017-06-27 00:00:00,2017-12-03 00:10:00,Bailey,None ,12.0,10.0
66,879415818425184262,2017-06-26 00:00:00,2017-12-03 19:07:00,Duddles,None ,13.0,10.0
67,879376492567855104,2017-06-26 00:00:00,2017-12-03 16:31:00,Jack,None ,12.0,10.0
69,879050749262655488,2017-06-25 00:00:00,2017-12-03 18:56:00,Steven,None ,11.0,10.0
70,879008229531029506,2017-06-25 00:00:00,2017-12-03 16:07:00,Beau,None ,13.0,10.0
71,878776093423087618,2017-06-25 00:00:00,2017-12-03 00:45:00,Snoopy,puppo,13.0,10.0
72,878604707211726852,2017-06-24 00:00:00,2017-12-03 13:24:00,None,None ,13.0,10.0
75,878281511006478336,2017-06-23 00:00:00,2017-12-03 16:00:00,Shadow,None ,13.0,10.0
76,878057613040115712,2017-06-23 00:00:00,2017-12-03 01:10:00,Emmy,None ,14.0,10.0
77,877736472329191424,2017-06-22 00:00:00,2017-12-03 03:54:00,Aja,None ,13.0,10.0
79,877556246731214848,2017-06-21 00:00:00,2017-12-03 15:58:00,Penny,None ,12.0,10.0
80,877316821321428993,2017-06-21 00:00:00,2017-12-03 00:06:00,Dante,None ,13.0,10.0
81,877201837425926144,2017-06-20 00:00:00,2017-12-03 16:29:00,Nelly,None ,12.0,10.0
82,876838120628539392,2017-06-19 00:00:00,2017-12-03 16:24:00,Ginger,pupper,12.0,10.0
83,876537666061221889,2017-06-18 00:00:00,2017-12-03 20:30:00,None,None ,14.0,10.0
84,876484053909872640,2017-06-18 00:00:00,2017-12-03 16:57:00,Benedict,None ,13.0,10.0
85,876120275196170240,2017-06-17 00:00:00,2017-12-03 16:52:00,Venti,None ,13.0,10.0
86,875747767867523072,2017-06-16 00:00:00,2017-12-03 16:11:00,Goose,None ,13.0,10.0
87,875144289856114688,2017-06-15 00:00:00,2017-12-03 00:13:00,Nugget,None ,13.0,10.0
88,875097192612077568,2017-06-14 00:00:00,2017-12-03 21:06:00,None,None ,13.0,10.0
89,875021211251597312,2017-06-14 00:00:00,2017-12-03 16:04:00,None,None ,12.0,10.0
90,874680097055178752,2017-06-13 00:00:00,2017-12-03 17:29:00,Cash,None ,12.0,10.0
92,874296783580663808,2017-06-12 00:00:00,2017-12-03 16:06:00,Jed,pupper,13.0,10.0
93,874057562936811520,2017-06-12 00:00:00,2017-12-03 00:15:00,None,None ,12.0,10.0
94,874012996292530176,2017-06-11 00:00:00,2017-12-03 21:18:00,Sebastian,puppo,13.0,10.0
96,873580283840344065,2017-06-10 00:00:00,2017-12-03 16:39:00,None,None ,13.0,10.0
98,873213775632977920,2017-06-09 00:00:00,2017-12-03 16:22:00,Sierra,pupper,12.0,10.0
99,872967104147763200,2017-06-09 00:00:00,2017-12-03 00:02:00,None,doggo,12.0,10.0
100,872820683541237760,2017-06-08 00:00:00,2017-12-03 14:20:00,None,None ,13.0,10.0
102,872620804844003328,2017-06-08 00:00:00,2017-12-03 01:06:00,Monkey,None ,13.0,10.0
103,872486979161796608,2017-06-07 00:00:00,2017-12-03 16:14:00,None,None ,12.0,10.0
104,872261713294495745,2017-06-07 00:00:00,2017-12-03 01:19:00,Harry,None ,13.0,10.0
105,872122724285648897,2017-06-06 00:00:00,2017-12-03 16:07:00,Kody,None ,12.0,10.0
106,871879754684805121,2017-06-06 00:00:00,2017-12-03 00:01:00,Lassie,None ,13.0,10.0
107,871762521631449091,2017-06-05 00:00:00,2017-12-03 16:15:00,Rover,pupper,12.0,10.0
108,871515927908634625,2017-06-04 00:00:00,2017-12-03 23:56:00,Napolean,doggo,12.0,10.0
110,871102520638267392,2017-06-03 00:00:00,2017-12-03 20:33:00,None,doggo,14.0,10.0
111,871032628920680449,2017-06-03 00:00:00,2017-12-03 15:55:00,Boomer,None ,13.0,10.0
112,870804317367881728,2017-06-03 00:00:00,2017-12-03 00:48:00,None,None ,11.0,10.0
113,870726314365509632,2017-06-02 00:00:00,2017-12-03 19:38:00,None,None ,10.0,10.0
114,870656317836468226,2017-06-02 00:00:00,2017-12-03 15:00:00,Cody,None ,13.0,10.0
115,870374049280663552,2017-06-01 00:00:00,2017-12-03 20:18:00,Zoey,None ,13.0,10.0
116,870308999962521604,2017-06-01 00:00:00,2017-12-03 16:00:00,Rumble,None ,13.0,10.0
117,870063196459192321,2017-05-31 00:00:00,2017-12-03 23:43:00,Clifford,None ,14.0,10.0
119,869772420881756160,2017-05-31 00:00:00,2017-12-03 04:27:00,Dewey,None ,13.0,10.0
120,869702957897576449,2017-05-30 00:00:00,2017-12-03 23:51:00,Stanley,None ,13.0,10.0
121,869596645499047938,2017-05-30 00:00:00,2017-12-03 16:49:00,Scout,doggo,12.0,10.0
122,869227993411051520,2017-05-29 00:00:00,2017-12-03 16:24:00,Gizmo,None ,13.0,10.0
123,868880397819494401,2017-05-28 00:00:00,2017-12-03 17:23:00,Walter,None ,14.0,10.0
125,868622495443632128,2017-05-28 00:00:00,2017-12-03 00:18:00,None,None ,13.0,10.0
126,868552278524837888,2017-05-27 00:00:00,2017-12-03 19:39:00,Cooper,None ,12.0,10.0
127,867900495410671616,2017-05-26 00:00:00,2017-12-03 00:29:00,None,None ,12.0,10.0
128,867774946302451713,2017-05-25 00:00:00,2017-12-03 16:10:00,Harold,None ,13.0,10.0
129,867421006826221569,2017-05-24 00:00:00,2017-12-03 16:44:00,Shikha,puppo,12.0,10.0
131,867051520902168576,2017-05-23 00:00:00,2017-12-03 16:16:00,None,None ,13.0,10.0
133,866720684873056260,2017-05-22 00:00:00,2017-12-03 18:21:00,None,None ,13.0,10.0
134,866686824827068416,2017-05-22 00:00:00,2017-12-03 16:06:00,Lili,None ,12.0,10.0
135,866450705531457537,2017-05-22 00:00:00,2017-12-03 00:28:00,Jamesy,pupper,13.0,10.0
136,866334964761202691,2017-05-21 00:00:00,2017-12-03 16:48:00,Coco,None ,12.0,10.0
138,865718153858494464,2017-05-19 00:00:00,2017-12-03 23:57:00,Boomer,None ,13.0,10.0
139,865359393868664832,2017-05-19 00:00:00,2017-12-03 00:12:00,Sammy,None ,13.0,10.0
140,865006731092295680,2017-05-18 00:00:00,2017-12-03 00:50:00,Nelly,None ,13.0,10.0
141,864873206498414592,2017-05-17 00:00:00,2017-12-03 16:00:00,None,None ,14.0,10.0
142,864279568663928832,2017-05-16 00:00:00,2017-12-03 00:41:00,Meatball,None ,12.0,10.0
143,864197398364647424,2017-05-15 00:00:00,2017-12-03 19:14:00,Paisley,None ,13.0,10.0
144,863907417377173506,2017-05-15 00:00:00,2017-12-03 00:02:00,Albus,None ,13.0,10.0
145,863553081350529029,2017-05-14 00:00:00,2017-12-03 00:34:00,Neptune,None ,13.0,10.0
147,863432100342583297,2017-05-13 00:00:00,2017-12-03 16:33:00,Belle,None ,12.0,10.0
148,863427515083354112,2017-05-13 00:00:00,2017-12-03 16:15:00,None,None ,12.0,10.0
149,863079547188785154,2017-05-12 00:00:00,2017-12-03 17:12:00,None,None ,14.0,10.0
150,863062471531167744,2017-05-12 00:00:00,2017-12-03 16:05:00,Quinn,None ,13.0,10.0
151,862831371563274240,2017-05-12 00:00:00,2017-12-03 00:46:00,Zooey,None ,13.0,10.0
152,862722525377298433,2017-05-11 00:00:00,2017-12-03 17:34:00,Dave,None ,11.0,10.0
153,862457590147678208,2017-05-11 00:00:00,2017-12-03 00:01:00,Jersey,None ,13.0,10.0
154,862096992088072192,2017-05-10 00:00:00,2017-12-03 00:08:00,None,None ,13.0,10.0
156,861383897657036800,2017-05-08 00:00:00,2017-12-03 00:54:00,Hobbes,None ,13.0,10.0
157,861288531465048066,2017-05-07 00:00:00,2017-12-03 18:36:00,None,None ,13.0,10.0
158,861005113778896900,2017-05-06 00:00:00,2017-12-03 23:49:00,Burt,None ,12.0,10.0
161,860563773140209665,2017-05-05 00:00:00,2017-12-03 18:36:00,Lorenzo,None ,13.0,10.0
162,860524505164394496,2017-05-05 00:00:00,2017-12-03 16:00:00,Carl,None ,13.0,10.0
163,860276583193509888,2017-05-04 00:00:00,2017-12-03 23:34:00,Jordy,None ,12.0,10.0
164,860184849394610176,2017-05-04 00:00:00,2017-12-03 17:30:00,None,None ,14.0,10.0
166,859924526012018688,2017-05-04 00:00:00,2017-12-03 00:15:00,Milky,None ,12.0,10.0
167,859851578198683649,2017-05-03 00:00:00,2017-12-03 19:26:00,Trooper,None ,13.0,10.0
168,859607811541651456,2017-05-03 00:00:00,2017-12-03 03:17:00,None,puppo,13.0,10.0
169,859196978902773760,2017-05-02 00:00:00,2017-12-03 00:04:00,None,None ,12.0,10.0
170,859074603037188101,2017-05-01 00:00:00,2017-12-03 15:58:00,None,None ,13.0,10.0
172,858843525470990336,2017-05-01 00:00:00,2017-12-03 00:40:00,None,doggo,13.0,10.0
173,858471635011153920,2017-04-30 00:00:00,2017-12-03 00:02:00,Sophie,None ,13.0,10.0
174,858107933456039936,2017-04-28 00:00:00,2017-12-03 23:57:00,Wyatt,None ,12.0,10.0
175,857989990357356544,2017-04-28 00:00:00,2017-12-03 16:08:00,Rosie,None ,12.0,10.0
176,857746408056729600,2017-04-28 00:00:00,2017-12-03 00:00:00,Thor,None ,13.0,10.0
177,857393404942143489,2017-04-27 00:00:00,2017-12-03 00:38:00,None,None ,13.0,10.0
178,857263160327368704,2017-04-26 00:00:00,2017-12-03 16:00:00,Oscar,None ,13.0,10.0
179,857214891891077121,2017-04-26 00:00:00,2017-12-03 12:48:00,None,None ,12.0,10.0
181,857029823797047296,2017-04-26 00:00:00,2017-12-03 00:33:00,Zeke,None ,12.0,10.0
183,856543823941562368,2017-04-24 00:00:00,2017-12-03 16:22:00,Callie,None ,12.0,10.0
184,856526610513747968,2017-04-24 00:00:00,2017-12-03 15:13:00,None,None ,14.0,10.0
186,856288084350160898,2017-04-23 00:00:00,2017-12-03 23:26:00,None,None ,14.0,10.0
187,856282028240666624,2017-04-23 00:00:00,2017-12-03 23:01:00,Cermet,None ,14.0,10.0
188,855862651834028034,2017-04-22 00:00:00,2017-12-03 19:15:00,None,None ,420.0,10.0
189,855860136149123072,2017-04-22 00:00:00,2017-12-03 19:05:00,None,None ,666.0,10.0
190,855857698524602368,2017-04-22 00:00:00,2017-12-03 18:55:00,None,None ,13.0,10.0
191,855851453814013952,2017-04-22 00:00:00,2017-12-03 18:31:00,None,doggoNoneNonepuppo,13.0,10.0
192,855818117272018944,2017-04-22 00:00:00,2017-12-03 16:18:00,None,None ,13.0,10.0
193,855459453768019968,2017-04-21 00:00:00,2017-12-03 16:33:00,None,None ,12.0,10.0
196,854732716440526848,2017-04-19 00:00:00,2017-12-03 16:25:00,Marlee,None ,12.0,10.0
197,854482394044301312,2017-04-18 00:00:00,2017-12-03 23:50:00,Arya,None ,13.0,10.0
198,854365224396361728,2017-04-18 00:00:00,2017-12-03 16:05:00,Einstein,None ,13.0,10.0
199,854120357044912130,2017-04-17 00:00:00,2017-12-03 23:52:00,None,pupper,14.0,10.0
200,854010172552949760,2017-04-17 00:00:00,2017-12-03 16:34:00,None,doggoflooferNoneNone,11.0,10.0
201,853760880890318849,2017-04-17 00:00:00,2017-12-03 00:03:00,Alice,None ,12.0,10.0
202,853639147608842240,2017-04-16 00:00:00,2017-12-03 16:00:00,None,None ,13.0,10.0
203,853299958564483072,2017-04-15 00:00:00,2017-12-03 17:32:00,Rumpole,None ,13.0,10.0
205,852912242202992640,2017-04-14 00:00:00,2017-12-03 15:51:00,Benny,None ,12.0,10.0
206,852672615818899456,2017-04-13 00:00:00,2017-12-03 23:59:00,Aspen,None ,12.0,10.0
207,852553447878664193,2017-04-13 00:00:00,2017-12-03 16:05:00,Jarod,None ,13.0,10.0
208,852311364735569921,2017-04-13 00:00:00,2017-12-03 00:03:00,Wiggles,None ,13.0,10.0
209,852226086759018497,2017-04-12 00:00:00,2017-12-03 18:25:00,General,None ,14.0,10.0
210,852189679701164033,2017-04-12 00:00:00,2017-12-03 16:00:00,Sailor,None ,12.0,10.0
213,851591660324737024,2017-04-11 00:00:00,2017-12-03 00:24:00,None,None ,11.0,10.0
214,851464819735769094,2017-04-10 00:00:00,2017-12-03 16:00:00,Iggy,None ,14.0,10.0
215,851224888060895234,2017-04-10 00:00:00,2017-12-03 00:06:00,Snoop,None ,13.0,10.0
216,850753642995093505,2017-04-08 00:00:00,2017-12-03 16:54:00,Kyle,None ,11.0,10.0
217,850380195714523136,2017-04-07 00:00:00,2017-12-03 16:10:00,Leo,None ,13.0,10.0
218,850333567704068097,2017-04-07 00:00:00,2017-12-03 13:04:00,None,None ,13.0,10.0
219,850145622816686080,2017-04-07 00:00:00,2017-12-03 00:38:00,Riley,None ,11.0,10.0
220,850019790995546112,2017-04-06 00:00:00,2017-12-03 16:18:00,Boomer,pupper,12.0,10.0
221,849776966551130114,2017-04-06 00:00:00,2017-12-03 00:13:00,None,None ,12.0,10.0
223,849412302885593088,2017-04-05 00:00:00,2017-12-03 00:04:00,Noosh,None ,12.0,10.0
224,849336543269576704,2017-04-04 00:00:00,2017-12-03 19:03:00,None,None ,11.0,10.0
225,849051919805034497,2017-04-04 00:00:00,2017-12-03 00:12:00,Kevin,None ,13.0,10.0
226,848690551926992896,2017-04-03 00:00:00,2017-12-03 00:16:00,None,None ,12.0,10.0
227,848324959059550208,2017-04-02 00:00:00,2017-12-03 00:03:00,Odin,None ,12.0,10.0
228,848213670039564288,2017-04-01 00:00:00,2017-12-03 16:41:00,None,None ,11.0,10.0
229,848212111729840128,2017-04-01 00:00:00,2017-12-03 16:35:00,Jerry,None ,6.0,10.0
232,847962785489326080,2017-04-01 00:00:00,2017-12-03 00:04:00,Georgie,None ,10.0,10.0
233,847842811428974592,2017-03-31 00:00:00,2017-12-03 16:07:00,Rontu,None ,12.0,10.0
234,847617282490613760,2017-03-31 00:00:00,2017-12-03 01:11:00,None,None ,13.0,10.0
235,847606175596138505,2017-03-31 00:00:00,2017-12-03 00:27:00,Cannon,None ,12.0,10.0
236,847251039262605312,2017-03-30 00:00:00,2017-12-03 00:56:00,Furzey,None ,12.0,10.0
237,847157206088847362,2017-03-29 00:00:00,2017-12-03 18:43:00,Daisy,None ,11.0,10.0
238,847116187444137987,2017-03-29 00:00:00,2017-12-03 16:00:00,None,None ,11.0,10.0
239,846874817362120707,2017-03-29 00:00:00,2017-12-03 00:01:00,Tuck,None ,13.0,10.0
240,846514051647705089,2017-03-28 00:00:00,2017-12-03 00:07:00,Barney,doggo,13.0,10.0
241,846505985330044928,2017-03-27 00:00:00,2017-12-03 23:35:00,None,None ,11.0,10.0
242,846153765933735936,2017-03-27 00:00:00,2017-12-03 00:15:00,Vixen,None ,13.0,10.0
243,846139713627017216,2017-03-26 00:00:00,2017-12-03 23:20:00,None,None ,13.0,10.0
244,846042936437604353,2017-03-26 00:00:00,2017-12-03 16:55:00,Jarvis,None ,12.0,10.0
245,845812042753855489,2017-03-26 00:00:00,2017-12-03 01:38:00,None,None ,13.0,10.0
246,845677943972139009,2017-03-25 00:00:00,2017-12-03 16:45:00,None,None ,12.0,10.0
248,845397057150107648,2017-03-24 00:00:00,2017-12-03 22:08:00,Mimosa,doggo,13.0,10.0
249,845306882940190720,2017-03-24 00:00:00,2017-12-03 16:10:00,Pickles,pupper,12.0,10.0
251,844979544864018432,2017-03-23 00:00:00,2017-12-03 18:29:00,None,None ,13.0,10.0
252,844973813909606400,2017-03-23 00:00:00,2017-12-03 18:07:00,Brady,None ,12.0,10.0
253,844704788403113984,2017-03-23 00:00:00,2017-12-03 00:18:00,Luna,None ,13.0,10.0
254,844580511645339650,2017-03-22 00:00:00,2017-12-03 16:04:00,Charlie,None ,11.0,10.0
255,844223788422217728,2017-03-21 00:00:00,2017-12-03 16:26:00,Margo,None ,12.0,10.0
256,843981021012017153,2017-03-21 00:00:00,2017-12-03 00:22:00,None,None ,13.0,10.0
257,843856843873095681,2017-03-20 00:00:00,2017-12-03 16:08:00,Sadie,None ,12.0,10.0
258,843604394117681152,2017-03-19 00:00:00,2017-12-03 23:25:00,Hank,None ,11.0,10.0
259,843235543001513987,2017-03-18 00:00:00,2017-12-03 22:59:00,Tycho,None ,13.0,10.0
261,842846295480000512,2017-03-17 00:00:00,2017-12-03 21:13:00,Charlie,None ,13.0,10.0
262,842765311967449089,2017-03-17 00:00:00,2017-12-03 15:51:00,Indie,None ,12.0,10.0
263,842535590457499648,2017-03-17 00:00:00,2017-12-03 00:38:00,Winnie,None ,13.0,10.0
264,842163532590374912,2017-03-16 00:00:00,2017-12-03 00:00:00,George,None ,12.0,10.0
265,842115215311396866,2017-03-15 00:00:00,2017-12-03 20:48:00,Bentley,None ,12.0,10.0
267,841680585030541313,2017-03-14 00:00:00,2017-12-03 16:01:00,Penny,None ,12.0,10.0
268,841439858740625411,2017-03-14 00:00:00,2017-12-03 00:04:00,None,None ,14.0,10.0
269,841320156043304961,2017-03-13 00:00:00,2017-12-03 16:08:00,None,None ,12.0,10.0
270,841314665196081154,2017-03-13 00:00:00,2017-12-03 15:47:00,Max,None ,13.0,10.0
271,841077006473256960,2017-03-13 00:00:00,2017-12-03 00:02:00,Dawn,None ,12.0,10.0
274,840698636975636481,2017-03-11 00:00:00,2017-12-03 22:59:00,None,None ,10.0,10.0
275,840696689258311684,2017-03-11 00:00:00,2017-12-03 22:51:00,None,None ,10.0,10.0
276,840632337062862849,2017-03-11 00:00:00,2017-12-03 18:35:00,Maddie,None ,12.0,10.0
277,840370681858686976,2017-03-11 00:00:00,2017-12-03 01:15:00,None,None ,13.0,10.0
278,840268004936019968,2017-03-10 00:00:00,2017-12-03 18:27:00,Monty,None ,12.0,10.0
279,839990271299457024,2017-03-10 00:00:00,2017-12-03 00:04:00,Sojourner,None ,13.0,10.0
280,839549326359670784,2017-03-08 00:00:00,2017-12-03 18:52:00,Winston,None ,12.0,10.0
282,839239871831150596,2017-03-07 00:00:00,2017-12-03 22:22:00,Odie,None ,13.0,10.0
283,838952994649550848,2017-03-07 00:00:00,2017-12-03 03:22:00,None,None ,13.0,10.0
284,838921590096166913,2017-03-07 00:00:00,2017-12-03 01:17:00,Arlo,None ,13.0,10.0
287,838561493054533637,2017-03-06 00:00:00,2017-12-03 01:26:00,Walter,None ,13.0,10.0
288,838476387338051585,2017-03-05 00:00:00,2017-12-03 19:48:00,Stanley,None ,13.0,10.0
290,838150277551247360,2017-03-04 00:00:00,2017-12-03 22:12:00,None,None ,182.0,10.0
291,838085839343206401,2017-03-04 00:00:00,2017-12-03 17:56:00,None,None ,15.0,10.0
292,838083903487373313,2017-03-04 00:00:00,2017-12-03 17:49:00,Daisy,None ,13.0,10.0
293,837820167694528512,2017-03-04 00:00:00,2017-12-03 00:21:00,None,pupper,12.0,10.0
294,837482249356513284,2017-03-03 00:00:00,2017-12-03 01:58:00,Waffles,None ,13.0,10.0
295,837471256429613056,2017-03-03 00:00:00,2017-12-03 01:14:00,Vincent,None ,12.0,10.0
296,837366284874571778,2017-03-02 00:00:00,2017-12-03 18:17:00,Lucy,None ,13.0,10.0
297,837110210464448512,2017-03-02 00:00:00,2017-12-03 01:20:00,Clark,pupper,13.0,10.0
299,836989968035819520,2017-03-01 00:00:00,2017-12-03 17:22:00,Mookie,None ,12.0,10.0
300,836753516572119041,2017-03-01 00:00:00,2017-12-03 01:42:00,Meera,doggo,12.0,10.0
301,836677758902222849,2017-02-28 00:00:00,2017-12-03 20:41:00,Oliver,None ,11.0,10.0
304,836380477523124226,2017-02-28 00:00:00,2017-12-03 01:00:00,Ava,pupper,12.0,10.0
305,836260088725786625,2017-02-27 00:00:00,2017-12-03 17:01:00,Lucy,None ,13.0,10.0
306,836001077879255040,2017-02-26 00:00:00,2017-12-03 23:52:00,None,None ,13.0,10.0
308,835574547218894849,2017-02-25 00:00:00,2017-12-03 19:37:00,Eli,None ,11.0,10.0
311,835297930240217089,2017-02-25 00:00:00,2017-12-03 01:18:00,Ash,None ,12.0,10.0
312,835264098648616962,2017-02-24 00:00:00,2017-12-03 23:04:00,Lola,None ,12.0,10.0
313,835246439529840640,2017-02-24 00:00:00,2017-12-03 21:54:00,None,None ,960.0,0.0
314,835172783151792128,2017-02-24 00:00:00,2017-12-03 17:01:00,None,None ,12.0,10.0
315,835152434251116546,2017-02-24 00:00:00,2017-12-03 15:40:00,None,None ,0.0,10.0
316,834931633769889797,2017-02-24 00:00:00,2017-12-03 01:03:00,Tucker,None ,12.0,10.0
317,834786237630337024,2017-02-23 00:00:00,2017-12-03 15:25:00,Tobi,None ,13.0,10.0
318,834574053763584002,2017-02-23 00:00:00,2017-12-03 01:22:00,None,doggo,13.0,10.0
320,834458053273591808,2017-02-22 00:00:00,2017-12-03 17:41:00,Chester,None ,12.0,10.0
321,834209720923721728,2017-02-22 00:00:00,2017-12-03 01:14:00,Wilson,None ,12.0,10.0
322,834167344700198914,2017-02-21 00:00:00,2017-12-03 22:26:00,Sunshine,None ,11.0,10.0
323,834089966724603904,2017-02-21 00:00:00,2017-12-03 17:18:00,None,doggo,10.0,10.0
324,834086379323871233,2017-02-21 00:00:00,2017-12-03 17:04:00,Lipton,None ,12.0,10.0
325,833863086058651648,2017-02-21 00:00:00,2017-12-03 02:17:00,Bentley,None ,12.0,10.0
326,833826103416520705,2017-02-20 00:00:00,2017-12-03 23:50:00,Charlie,None ,13.0,10.0
328,833722901757046785,2017-02-20 00:00:00,2017-12-03 17:00:00,Bronte,None ,13.0,10.0
329,833479644947025920,2017-02-20 00:00:00,2017-12-03 00:53:00,Poppy,None ,13.0,10.0
